,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,NOCTURNO7418,AMANTE DE LA NOCHE,920844594568458241,939628300212817920,/NOCTURNO7418/status/939628300212817920,2017-12-09 22:50:18,1512859818,MIENTRAS SIGAS EN LA GOBERNACIÓN BARCELONA FRACASARA Y NI EN LA GOBERNACIÓN VALES PORQUE LA DELINCUENCIA ESTA TERRIBLE EN GUAYAQUIL ERES PARTE DE LAS RATAS DE AP Y ESAS RATAS LO QUE TOCAN O ROBAN O DESTRUYEN Y EN ESTE CASO HAS DESTRUIDO ESTE AÑO A BARCELONA PERO TU LLENO DE PLATA,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">MIENTRAS SIGAS EN LA GOBERNACIÓN <strong>BARCELONA</strong> FRACASARA Y NI EN LA GOBERNACIÓN VALES PORQUE LA <strong>DELINCUENCIA</strong> ESTA TERRIBLE EN GUAYAQUIL ERES PARTE DE LAS RATAS DE AP Y ESAS RATAS LO QUE TOCAN O ROBAN O DESTRUYEN Y EN ESTE CASO HAS DESTRUIDO ESTE AÑO A <strong>BARCELONA</strong> PERO TU LLENO DE PLATA</p>",[],[],False,[],,7,2,0,False,True,939626219280072704,"[{'screen_name': 'BarcelonaSC', 'user_id': '112757144'}, {'screen_name': 'barcelonascweb', 'user_id': '969221171026759681'}]"
1,CorporacionGES,Corporación GES,458785593,939623379065327616,/CorporacionGES/status/939623379065327616,2017-12-09 22:30:45,1512858645,"La Politica y el Futbol no van juntos.
Pancho Cevallos termina el año con Barcelona  sin Copa Libertadores y con una Gobernación sin rumbo definido con Guayaquil con  inseguridad y  distribución drogas al maximo nivel .","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">La Politica y el Futbol no van juntos.
Pancho Cevallos termina el año con <strong>Barcelona</strong>  sin Copa Libertadores y con una Gobernación sin rumbo definido con Guayaquil con  <strong>inseguridad</strong> y  distribución drogas al maximo nivel .</p>",[],[],False,[],,0,0,0,False,False,,[]
2,joeabenpresa,JOSÉ PÉREZ- Clan Muralla Humana,484588994,939612440479830016,/joeabenpresa/status/939612440479830016,2017-12-09 21:47:17,1512856037,"El delito de rebelión lo dice la señora que nació en Barcelona, hija de un extremeño que se pasó 30 años en Barcelona orgulloso de no aprender una palabra de catalán, no falla #faqspontTV3","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El <strong>delito</strong> de rebelión lo dice la señora que nació en <strong>Barcelona</strong>, hija de un extremeño que se pasó 30 años en <strong>Barcelona</strong> orgulloso de no aprender una palabra de catalán, no falla <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/faqspontTV3?src=hash""><s>#</s><b>faqspontTV3</b></a></p>",[],['faqspontTV3'],False,[],,147,64,6,True,False,,[]
3,jsanchezparra,Jorge Sánchez Parra,158487595,939607644276494336,/jsanchezparra/status/939607644276494336,2017-12-09 21:28:14,1512854894,"Fea acción de Alvez, eso era agresión y debía ser expulsado. Que no se diga después que los árbitros quieren perjudicar a Barcelona","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Fea acción de Alvez, eso era <strong>agresión</strong> y debía ser expulsado. Que no se diga después que los árbitros quieren perjudicar a <strong>Barcelona</strong></p>",[],[],False,[],,11,12,2,True,False,,[]
4,BrianMasR,Brian Mas 🎗,316451356,939568482735345664,/BrianMasR/status/939568482735345664,2017-12-09 18:52:37,1512845557,Lo que sí está bien es que reconozcas que la violencia en Barcelona no ha sido por los independentistas.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Lo que sí está bien es que reconozcas que la <strong>violencia</strong> en <strong>Barcelona</strong> no ha sido por los independentistas.</p>",[],[],False,[],,0,0,0,False,True,939442703594647552,"[{'screen_name': 'BrianMasR', 'user_id': '316451356'}, {'screen_name': 'BNerbs', 'user_id': '905405523863982080'}]"
5,barcelona_010,barcelona_010,263571055,939562826271744000,/barcelona_010/status/939562826271744000,2017-12-09 18:30:08,1512844208,"Davant les #violènciesmasclistes,
no et giris d’esquena.
Telèfon d’atenció gratuït contra la violència masclista.
900 900 120. Servei 24 hores, 365 dies l’any.
http://ajuntament.barcelona.cat/bcnantimasclista/ca/serveis-datencio …pic.twitter.com/uygdsm5SQj","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">Davant les <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/viol%C3%A8nciesmasclistes?src=hash""><s>#</s><b>violènciesmasclistes</b></a>,
no et giris d’esquena.
Telèfon d’atenció gratuït contra la <strong>violència</strong> masclista.
900 900 120. Servei 24 hores, 365 dies l’any.
<a class=""twitter-timeline-link"" data-expanded-url=""http://ajuntament.barcelona.cat/bcnantimasclista/ca/serveis-datencio"" dir=""ltr"" href=""https://t.co/4HQeCr6uuD"" rel=""nofollow noopener"" target=""_blank"" title=""http://ajuntament.barcelona.cat/bcnantimasclista/ca/serveis-datencio""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ajuntament.barcelona.cat/bcnantimasclis</span><span class=""invisible"">ta/ca/serveis-datencio</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/uygdsm5SQj"">pic.twitter.com/uygdsm5SQj</a></p>",['http://ajuntament.barcelona.cat/bcnantimasclista/ca/serveis-datencio'],['violènciesmasclistes'],True,['https://pbs.twimg.com/media/DQn_aP9XkAACLVl.jpg'],,0,2,0,False,False,,[]
6,Valyrio_bcn,Isaac A. Mocos,939550174334078978,939554146021240832,/Valyrio_bcn/status/939554146021240832,2017-12-09 17:55:39,1512842139,"Una llàstima, heu convertit Barcelona en un abocador amb tants llaços grocs i símbols que inciten a la violència.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">Una llàstima, heu convertit <strong>Barcelona</strong> en un abocador amb tants llaços grocs i símbols que inciten a la <strong>violència</strong>.</p>",[],[],False,[],,0,0,0,False,True,939440505267675136,"[{'screen_name': 'FloraPla', 'user_id': '311363577'}]"
7,porsiuncas,Porsiuncas,910908166988328960,939508519627313152,/porsiuncas/status/939508519627313152,2017-12-09 14:54:20,1512831260,"Tienes muchos pájaros en la cabeza, el Estado no se saltó ninguna legalidad. Todos los Estados del mundo tienen el poder coercitivo que les autoriza a ejercer la violencia para hacer cumplir las leyes. Siempre a sido así y el Govern lo sabía
https://www.republica.com/2017/11/21/estaria-bien-una-foto-de-la-guardia-civil-llevandose-una-urna-bajo-el-brazo/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Tienes muchos pájaros en la cabeza, el Estado no se saltó ninguna legalidad. Todos los Estados del mundo tienen el poder coercitivo que les autoriza a ejercer la <strong>violencia</strong> para hacer cumplir las leyes. Siempre a sido así y el Govern lo sabía
<a class=""twitter-timeline-link"" data-expanded-url=""https://www.republica.com/2017/11/21/estaria-bien-una-foto-de-la-guardia-civil-llevandose-una-urna-bajo-el-brazo/"" dir=""ltr"" href=""https://t.co/bcAiMoUIA9"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.republica.com/2017/11/21/estaria-bien-una-foto-de-la-guardia-civil-llevandose-una-urna-bajo-el-brazo/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">republica.com/2017/11/21/est</span><span class=""invisible"">aria-bien-una-foto-de-la-guardia-civil-llevandose-una-urna-bajo-el-brazo/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.republica.com/2017/11/21/estaria-bien-una-foto-de-la-guardia-civil-llevandose-una-urna-bajo-el-brazo/'],[],False,[],,0,0,0,False,True,938877527845609472,"[{'screen_name': 'indy_catalana', 'user_id': '1363942495'}, {'screen_name': 'BruceWallace01', 'user_id': '923651281474019330'}]"
8,Sandra_ViBa,Sandra Vicente,426622617,939476819597721600,/Sandra_ViBa/status/939476819597721600,2017-12-09 12:48:23,1512823703,"Intensa entrevista fruto d una larga conversación con el compañero Martín Durán, periodista de #Sinaloa qe salió de México por amenazas. Habla de la violencia hacia reporteros desde #Barcelona gracias al programa refugio de la @taulapermexic en @eldiarioes https://goo.gl/XjAFSw pic.twitter.com/OwyYKwzefh","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Intensa entrevista fruto d una larga conversación con el compañero Martín Durán, periodista de <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Sinaloa?src=hash""><s>#</s><b>Sinaloa</b></a> qe salió de México por amenazas. Habla de la <strong>violencia</strong> hacia reporteros desde <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Barcelona?src=hash""><s>#</s><b><strong>Barcelona</strong></b></a> gracias al programa refugio de la <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""796684838854074368"" dir=""ltr"" href=""/taulapermexic""><s>@</s><b>taulapermexic</b></a> en <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""535707261"" dir=""ltr"" href=""/eldiarioes""><s>@</s><b>eldiarioes</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""https://goo.gl/XjAFSw"" dir=""ltr"" href=""https://t.co/fEpcPLPgTl"" rel=""nofollow noopener"" target=""_blank"" title=""https://goo.gl/XjAFSw""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">goo.gl/XjAFSw</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/OwyYKwzefh"">pic.twitter.com/OwyYKwzefh</a></p>",['https://goo.gl/XjAFSw'],"['Sinaloa', 'Barcelona']",True,['https://pbs.twimg.com/media/DQmxDxVXcAAKEp2.jpg'],,9,7,0,False,False,,[]
9,arp_barcelona,ARP Barcelona,840591730302935040,939445146306916352,/arp_barcelona/status/939445146306916352,2017-12-09 10:42:31,1512816151,"Por si alguien tenía dudas, de nuestro trabajo y compromiso?... lo mismo inician movimiento de indignación por la #EquiparacionYa, que invierten sus esfuerzos en la persecución del delito.Enhorabuena compañeros...Aquí arrancó @jusapol para suerte de tod@s!http://cadenaser.com/emisora/2017/12/08/radio_palencia/1512740010_751363.html …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Por si alguien tenía dudas, de nuestro trabajo y compromiso?... lo mismo inician movimiento de indignación por la <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/EquiparacionYa?src=hash""><s>#</s><b>EquiparacionYa</b></a>, que invierten sus esfuerzos en la persecución del <strong>delito</strong>.Enhorabuena compañeros...Aquí arrancó <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""850752506972045314"" dir=""ltr"" href=""/jusapol""><s>@</s><b>jusapol</b></a> para suerte de tod@s!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://cadenaser.com/emisora/2017/12/08/radio_palencia/1512740010_751363.html"" dir=""ltr"" href=""https://t.co/5M0ZCTLauQ"" rel=""nofollow noopener"" target=""_blank"" title=""http://cadenaser.com/emisora/2017/12/08/radio_palencia/1512740010_751363.html""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">cadenaser.com/emisora/2017/1</span><span class=""invisible"">2/08/radio_palencia/1512740010_751363.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['http://cadenaser.com/emisora/2017/12/08/radio_palencia/1512740010_751363.html'],['EquiparacionYa'],False,[],,27,26,0,False,False,,[]
10,Antifa_GB_1,Antifa-GB,802925432639201280,939437812012716034,/Antifa_GB_1/status/939437812012716034,2017-12-09 10:13:22,1512814402,"RT feminicidio: Agresión #homófoba en #Barcelona: Cinco individuos dejan inconsciente a un joven de un puñetazo al grito de ""maricones, os vamos a matar"". #LGTBFobia http://www.lasexta.com/noticias/sociedad/cinco-energumenos-dejan-inconsciente-a-un-joven-de-un-punetazo-en-una-brutal-agresion-homofoba-gritaban-maricones-os-vamos-a-matar_201712065a27fbc90cf2b410ea9b6215.html … #NewBluehand #Bluehand #Antifa","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">RT feminicidio: <strong>Agresión</strong> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hom%C3%B3foba?src=hash""><s>#</s><b>homófoba</b></a> en <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Barcelona?src=hash""><s>#</s><b><strong>Barcelona</strong></b></a>: Cinco individuos dejan inconsciente a un joven de un puñetazo al grito de ""maricones, os vamos a matar"". <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LGTBFobia?src=hash""><s>#</s><b>LGTBFobia</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://www.lasexta.com/noticias/sociedad/cinco-energumenos-dejan-inconsciente-a-un-joven-de-un-punetazo-en-una-brutal-agresion-homofoba-gritaban-maricones-os-vamos-a-matar_201712065a27fbc90cf2b410ea9b6215.html"" dir=""ltr"" href=""https://t.co/Vl0yQqFDI8"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.lasexta.com/noticias/sociedad/cinco-energumenos-dejan-inconsciente-a-un-joven-de-un-punetazo-en-una-brutal-agresion-homofoba-gritaban-maricones-os-vamos-a-matar_201712065a27fbc90cf2b410ea9b6215.html""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">lasexta.com/noticias/socie</span><span class=""invisible"">dad/cinco-energumenos-dejan-inconsciente-a-un-joven-de-un-punetazo-en-una-brutal-agresion-homofoba-gritaban-maricones-os-vamos-a-matar_201712065a27fbc90cf2b410ea9b6215.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/NewBluehand?src=hash""><s>#</s><b>NewBluehand</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Bluehand?src=hash""><s>#</s><b>Bluehand</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Antifa?src=hash""><s>#</s><b>Antifa</b></a></p>",['http://www.lasexta.com/noticias/sociedad/cinco-energumenos-dejan-inconsciente-a-un-joven-de-un-punetazo-en-una-brutal-agresion-homofoba-gritaban-maricones-os-vamos-a-matar_201712065a27fbc90cf2b410ea9b6215.html'],"['homófoba', 'Barcelona', 'LGTBFobia', 'NewBluehand', 'Bluehand', 'Antifa']",False,[],,0,0,0,False,False,,[]
11,feminicidio,Feminicidio·net,249112212,939434535636357122,/feminicidio/status/939434535636357122,2017-12-09 10:00:21,1512813621,"Agresión #homófoba en #Barcelona: Cinco individuos dejan inconsciente a un joven de un puñetazo al grito de ""maricones, os vamos a matar"". #LGTBFobiahttp://www.lasexta.com/noticias/sociedad/cinco-energumenos-dejan-inconsciente-a-un-joven-de-un-punetazo-en-una-brutal-agresion-homofoba-gritaban-maricones-os-vamos-a-matar_201712065a27fbc90cf2b410ea9b6215.html …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es""><strong>Agresión</strong> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/hom%C3%B3foba?src=hash""><s>#</s><b>homófoba</b></a> en <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Barcelona?src=hash""><s>#</s><b><strong>Barcelona</strong></b></a>: Cinco individuos dejan inconsciente a un joven de un puñetazo al grito de ""maricones, os vamos a matar"". <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/LGTBFobia?src=hash""><s>#</s><b>LGTBFobia</b></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://www.lasexta.com/noticias/sociedad/cinco-energumenos-dejan-inconsciente-a-un-joven-de-un-punetazo-en-una-brutal-agresion-homofoba-gritaban-maricones-os-vamos-a-matar_201712065a27fbc90cf2b410ea9b6215.html"" dir=""ltr"" href=""https://t.co/6e86sy7Vf1"" rel=""nofollow noopener"" target=""_blank"" title=""http://www.lasexta.com/noticias/sociedad/cinco-energumenos-dejan-inconsciente-a-un-joven-de-un-punetazo-en-una-brutal-agresion-homofoba-gritaban-maricones-os-vamos-a-matar_201712065a27fbc90cf2b410ea9b6215.html""><span class=""tco-ellipsis""></span><span class=""invisible"">http://www.</span><span class=""js-display-url"">lasexta.com/noticias/socie</span><span class=""invisible"">dad/cinco-energumenos-dejan-inconsciente-a-un-joven-de-un-punetazo-en-una-brutal-agresion-homofoba-gritaban-maricones-os-vamos-a-matar_201712065a27fbc90cf2b410ea9b6215.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['http://www.lasexta.com/noticias/sociedad/cinco-energumenos-dejan-inconsciente-a-un-joven-de-un-punetazo-en-una-brutal-agresion-homofoba-gritaban-maricones-os-vamos-a-matar_201712065a27fbc90cf2b410ea9b6215.html'],"['homófoba', 'Barcelona', 'LGTBFobiahttp']",False,[],,44,192,3,True,False,,[]
12,rogersancle,rogersancle,856895937637167105,939421421092114432,/rogersancle/status/939421421092114432,2017-12-09 09:08:15,1512810495,"Si en Bélgica se ha podido hacer una manifestación con ese DNI que hablas, porque en Barcelona es delito de sedición, odio y cárcel? Te lo digo yo: CENSURA","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Si en Bélgica se ha podido hacer una manifestación con ese DNI que hablas, porque en <strong>Barcelona</strong> es <strong>delito</strong> de sedición, odio y cárcel? Te lo digo yo: CENSURA</p>",[],[],False,[],,0,0,0,False,True,938736667468460032,"[{'screen_name': 'an_peinado', 'user_id': '796675445605462016'}, {'screen_name': 'GabiFuster', 'user_id': '2939509151'}, {'screen_name': 'InesArrimadas', 'user_id': '552561770'}]"
13,espemanzanero,Espe Manzanero,424603545,939411759135326208,/espemanzanero/status/939411759135326208,2017-12-09 08:29:51,1512808191,"Los fachas se meten hasta en manis de izquierda para hacerse de notar,liarla, hay que acabar con ellos. 
Donde se agrede a extranjeros es en Barcelona=turistas.
Los indepes segregan,eso es violencia social.
Si no ves TV3 es que estás educado en adoctrina supremacista identitaria","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Los fachas se meten hasta en manis de izquierda para hacerse de notar,liarla, hay que acabar con ellos. 
Donde se agrede a extranjeros es en <strong>Barcelona</strong>=turistas.
Los indepes segregan,eso es <strong>violencia</strong> social.
Si no ves TV3 es que estás educado en adoctrina supremacista identitaria</p>",[],[],False,[],,0,0,0,False,True,939346628904763392,"[{'screen_name': 'yonpo77', 'user_id': '3147994738'}, {'screen_name': 'LaVanguardia', 'user_id': '74453123'}]"
14,morenazo691,jose moreno,2330988907,939303513917714433,/morenazo691/status/939303513917714433,2017-12-09 01:19:43,1512782383,Fiscales del Supremo recaban en Barcelona pruebas del delito de rebelión... https://youtu.be/PamK4X1wxDc  vía @YouTube,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Fiscales del Supremo recaban en <strong>Barcelona</strong> pruebas del <strong>delito</strong> de rebelión... <a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/PamK4X1wxDc"" dir=""ltr"" href=""https://t.co/MyH6Pixlb8"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/PamK4X1wxDc""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/PamK4X1wxDc</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> vía <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""10228272"" dir=""ltr"" href=""/YouTube""><s>@</s><b>YouTube</b></a></p>",['https://youtu.be/PamK4X1wxDc'],[],False,[],,0,0,0,False,False,,[]
15,NOCTURNO7418,AMANTE DE LA NOCHE,920844594568458241,939628300212817920,/NOCTURNO7418/status/939628300212817920,2017-12-09 22:50:18,1512859818,MIENTRAS SIGAS EN LA GOBERNACIÓN BARCELONA FRACASARA Y NI EN LA GOBERNACIÓN VALES PORQUE LA DELINCUENCIA ESTA TERRIBLE EN GUAYAQUIL ERES PARTE DE LAS RATAS DE AP Y ESAS RATAS LO QUE TOCAN O ROBAN O DESTRUYEN Y EN ESTE CASO HAS DESTRUIDO ESTE AÑO A BARCELONA PERO TU LLENO DE PLATA,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">MIENTRAS SIGAS EN LA GOBERNACIÓN <strong>BARCELONA</strong> FRACASARA Y NI EN LA GOBERNACIÓN VALES PORQUE LA <strong>DELINCUENCIA</strong> ESTA TERRIBLE EN GUAYAQUIL ERES PARTE DE LAS RATAS DE AP Y ESAS RATAS LO QUE TOCAN O ROBAN O DESTRUYEN Y EN ESTE CASO HAS DESTRUIDO ESTE AÑO A <strong>BARCELONA</strong> PERO TU LLENO DE PLATA</p>",[],[],False,[],,7,2,0,False,True,939626219280072704,"[{'screen_name': 'BarcelonaSC', 'user_id': '112757144'}, {'screen_name': 'barcelonascweb', 'user_id': '969221171026759681'}]"
16,CorporacionGES,Corporación GES,458785593,939623379065327616,/CorporacionGES/status/939623379065327616,2017-12-09 22:30:45,1512858645,"La Politica y el Futbol no van juntos.
Pancho Cevallos termina el año con Barcelona  sin Copa Libertadores y con una Gobernación sin rumbo definido con Guayaquil con  inseguridad y  distribución drogas al maximo nivel .","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">La Politica y el Futbol no van juntos.
Pancho Cevallos termina el año con <strong>Barcelona</strong>  sin Copa Libertadores y con una Gobernación sin rumbo definido con Guayaquil con  <strong>inseguridad</strong> y  distribución drogas al maximo nivel .</p>",[],[],False,[],,0,0,0,False,False,,[]
17,joeabenpresa,JOSÉ PÉREZ- Clan Muralla Humana,484588994,939612440479830016,/joeabenpresa/status/939612440479830016,2017-12-09 21:47:17,1512856037,"El delito de rebelión lo dice la señora que nació en Barcelona, hija de un extremeño que se pasó 30 años en Barcelona orgulloso de no aprender una palabra de catalán, no falla #faqspontTV3","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">El <strong>delito</strong> de rebelión lo dice la señora que nació en <strong>Barcelona</strong>, hija de un extremeño que se pasó 30 años en <strong>Barcelona</strong> orgulloso de no aprender una palabra de catalán, no falla <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/faqspontTV3?src=hash""><s>#</s><b>faqspontTV3</b></a></p>",[],['faqspontTV3'],False,[],,147,64,6,True,False,,[]
18,jsanchezparra,Jorge Sánchez Parra,158487595,939607644276494336,/jsanchezparra/status/939607644276494336,2017-12-09 21:28:14,1512854894,"Fea acción de Alvez, eso era agresión y debía ser expulsado. Que no se diga después que los árbitros quieren perjudicar a Barcelona","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Fea acción de Alvez, eso era <strong>agresión</strong> y debía ser expulsado. Que no se diga después que los árbitros quieren perjudicar a <strong>Barcelona</strong></p>",[],[],False,[],,11,12,2,True,False,,[]
19,BrianMasR,Brian Mas 🎗,316451356,939568482735345664,/BrianMasR/status/939568482735345664,2017-12-09 18:52:37,1512845557,Lo que sí está bien es que reconozcas que la violencia en Barcelona no ha sido por los independentistas.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">Lo que sí está bien es que reconozcas que la <strong>violencia</strong> en <strong>Barcelona</strong> no ha sido por los independentistas.</p>",[],[],False,[],,0,0,0,False,True,939442703594647552,"[{'screen_name': 'BrianMasR', 'user_id': '316451356'}, {'screen_name': 'BNerbs', 'user_id': '905405523863982080'}]"
20,barcelona_010,barcelona_010,263571055,939562826271744000,/barcelona_010/status/939562826271744000,2017-12-09 18:30:08,1512844208,"Davant les #violènciesmasclistes,
no et giris d’esquena.
Telèfon d’atenció gratuït contra la violència masclista.
900 900 120. Servei 24 hores, 365 dies l’any.
http://ajuntament.barcelona.cat/bcnantimasclista/ca/serveis-datencio …pic.twitter.com/uygdsm5SQj","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">Davant les <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/viol%C3%A8nciesmasclistes?src=hash""><s>#</s><b>violènciesmasclistes</b></a>,
no et giris d’esquena.
Telèfon d’atenció gratuït contra la <strong>violència</strong> masclista.
900 900 120. Servei 24 hores, 365 dies l’any.
<a class=""twitter-timeline-link"" data-expanded-url=""http://ajuntament.barcelona.cat/bcnantimasclista/ca/serveis-datencio"" dir=""ltr"" href=""https://t.co/4HQeCr6uuD"" rel=""nofollow noopener"" target=""_blank"" title=""http://ajuntament.barcelona.cat/bcnantimasclista/ca/serveis-datencio""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">ajuntament.barcelona.cat/bcnantimasclis</span><span class=""invisible"">ta/ca/serveis-datencio</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/uygdsm5SQj"">pic.twitter.com/uygdsm5SQj</a></p>",['http://ajuntament.barcelona.cat/bcnantimasclista/ca/serveis-datencio'],['violènciesmasclistes'],True,['https://pbs.twimg.com/media/DQn_aP9XkAACLVl.jpg'],,0,2,0,False,False,,[]
21,Valyrio_bcn,Isaac A. Mocos,939550174334078978,939554146021240832,/Valyrio_bcn/status/939554146021240832,2017-12-09 17:55:39,1512842139,"Una llàstima, heu convertit Barcelona en un abocador amb tants llaços grocs i símbols que inciten a la violència.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ca"">Una llàstima, heu convertit <strong>Barcelona</strong> en un abocador amb tants llaços grocs i símbols que inciten a la <strong>violència</strong>.</p>",[],[],False,[],,0,0,0,False,True,939440505267675136,"[{'screen_name': 'FloraPla', 'user_id': '311363577'}]"
