;RP;ABP;type_of_crime;number_of_crimes;year;month;day;date
759;RP Metropolitana Barcelona;ABP Barcelona;Falsedats documentals;2;2019;1;1;2019-01-01
760;RP Metropolitana Barcelona;ABP Barcelona;Lesions;2;2019;1;1;2019-01-01
761;RP Metropolitana Barcelona;ABP Barcelona;Danys;10;2019;1;1;2019-01-01
762;RP Metropolitana Barcelona;ABP Barcelona;Estafes;8;2019;1;1;2019-01-01
763;RP Metropolitana Barcelona;ABP Barcelona;Furt;123;2019;1;1;2019-01-01
764;RP Metropolitana Barcelona;ABP Barcelona;Robatori amb força;1;2019;1;1;2019-01-01
765;RP Metropolitana Barcelona;ABP Barcelona;Robatori amb força interior vehicle;9;2019;1;1;2019-01-01
766;RP Metropolitana Barcelona;ABP Barcelona;Robatori amb violència i/o intimidació;13;2019;1;1;2019-01-01
767;RP Metropolitana Barcelona;ABP Barcelona;Robatori i furt d'us de vehicle;2;2019;1;1;2019-01-01
768;RP Metropolitana Barcelona;ABP Barcelona;Contra exercici drets fonamentals i llibertats públiques;15;2019;1;1;2019-01-01
769;RP Metropolitana Barcelona;ABP Barcelona;Amenaces;0;2019;1;1;2019-01-01
770;RP Metropolitana Barcelona;ABP Barcelona;Desordres públics;1;2019;1;1;2019-01-01
771;RP Metropolitana Barcelona;ABP Barcelona;Organitzacions i grups criminals;1;2019;1;1;2019-01-01
772;RP Metropolitana Barcelona;ABP Barcelona;Altres delictes contra l'ordre públic;1;2019;1;1;2019-01-01
773;RP Metropolitana Barcelona;ABP Ciutat Vella;Homicidi temptativa;2;2019;1;1;2019-01-01
774;RP Metropolitana Barcelona;ABP Ciutat Vella;Falsedats documentals;4;2019;1;1;2019-01-01
775;RP Metropolitana Barcelona;ABP Ciutat Vella;Falsificació de moneda i efectes timbrats;2;2019;1;1;2019-01-01
776;RP Metropolitana Barcelona;ABP Ciutat Vella;Usurpació de funcions públiques i intrusisme;1;2019;1;1;2019-01-01
777;RP Metropolitana Barcelona;ABP Ciutat Vella;Lesions;89;2019;1;1;2019-01-01
778;RP Metropolitana Barcelona;ABP Ciutat Vella;Apropiació indeguda;121;2019;1;1;2019-01-01
779;RP Metropolitana Barcelona;ABP Ciutat Vella;Danys;154;2019;1;1;2019-01-01
780;RP Metropolitana Barcelona;ABP Ciutat Vella;Estafes;151;2019;1;1;2019-01-01
781;RP Metropolitana Barcelona;ABP Ciutat Vella;Furt;2788;2019;1;1;2019-01-01
782;RP Metropolitana Barcelona;ABP Ciutat Vella;Ocupació immobles;25;2019;1;1;2019-01-01
783;RP Metropolitana Barcelona;ABP Ciutat Vella;Receptació i altres conductes afins;10;2019;1;1;2019-01-01
784;RP Metropolitana Barcelona;ABP Ciutat Vella;Robatori amb força;150;2019;1;1;2019-01-01
785;RP Metropolitana Barcelona;ABP Ciutat Vella;Robatori amb força interior vehicle;117;2019;1;1;2019-01-01
786;RP Metropolitana Barcelona;ABP Ciutat Vella;Robatori amb violència i/o intimidació;335;2019;1;1;2019-01-01
787;RP Metropolitana Barcelona;ABP Ciutat Vella;Robatori i furt d'us de vehicle;14;2019;1;1;2019-01-01
788;RP Metropolitana Barcelona;ABP Ciutat Vella;Descobriment i revelació de secrets;2;2019;1;1;2019-01-01
789;RP Metropolitana Barcelona;ABP Ciutat Vella;Entrada a domicili aliè;3;2019;1;1;2019-01-01
790;RP Metropolitana Barcelona;ABP Ciutat Vella;Amenaces;31;2019;1;1;2019-01-01
791;RP Metropolitana Barcelona;ABP Ciutat Vella;Abusos sexuals;5;2019;1;1;2019-01-01
792;RP Metropolitana Barcelona;ABP Ciutat Vella;Agressions sexuals;5;2019;1;1;2019-01-01
793;RP Metropolitana Barcelona;ABP Ciutat Vella;Acusació, denúncia falsa i simulació de delictes;1;2019;1;1;2019-01-01
794;RP Metropolitana Barcelona;ABP Ciutat Vella;Trencament de condemna;6;2019;1;1;2019-01-01
795;RP Metropolitana Barcelona;ABP Ciutat Vella;Contra els drets i deures familiars;2;2019;1;1;2019-01-01
796;RP Metropolitana Barcelona;ABP Ciutat Vella;Desordres públics;4;2019;1;1;2019-01-01
797;RP Metropolitana Barcelona;ABP Ciutat Vella;Organitzacions i grups criminals;0;2019;1;1;2019-01-01
798;RP Metropolitana Barcelona;ABP Ciutat Vella;Altres delictes contra l'ordre públic;18;2019;1;1;2019-01-01
799;RP Metropolitana Barcelona;ABP Ciutat Vella;Contra la salut pública;42;2019;1;1;2019-01-01
800;RP Metropolitana Barcelona;ABP Ciutat Vella;Incendi;1;2019;1;1;2019-01-01
801;RP Metropolitana Barcelona;ABP Ciutat Vella;Faltes contra el patrimoni;0;2019;1;1;2019-01-01
802;RP Metropolitana Barcelona;ABP Eixample;Homicidi temptativa;4;2019;1;1;2019-01-01
803;RP Metropolitana Barcelona;ABP Eixample;De la usurpació de l'estat civil;1;2019;1;1;2019-01-01
804;RP Metropolitana Barcelona;ABP Eixample;Falsedats documentals;3;2019;1;1;2019-01-01
805;RP Metropolitana Barcelona;ABP Eixample;Falsificació de moneda i efectes timbrats;1;2019;1;1;2019-01-01
806;RP Metropolitana Barcelona;ABP Eixample;Usurpació de funcions públiques i intrusisme;2;2019;1;1;2019-01-01
807;RP Metropolitana Barcelona;ABP Eixample;Lesions;73;2019;1;1;2019-01-01
808;RP Metropolitana Barcelona;ABP Eixample;Apropiació indeguda;107;2019;1;1;2019-01-01
809;RP Metropolitana Barcelona;ABP Eixample;Danys;248;2019;1;1;2019-01-01
810;RP Metropolitana Barcelona;ABP Eixample;Estafes;375;2019;1;1;2019-01-01
811;RP Metropolitana Barcelona;ABP Eixample;Furt;3426;2019;1;1;2019-01-01
812;RP Metropolitana Barcelona;ABP Eixample;Ocupació immobles;10;2019;1;1;2019-01-01
813;RP Metropolitana Barcelona;ABP Eixample;Propietat industrial;1;2019;1;1;2019-01-01
814;RP Metropolitana Barcelona;ABP Eixample;Propietat intel·lectual;1;2019;1;1;2019-01-01
815;RP Metropolitana Barcelona;ABP Eixample;Receptació i altres conductes afins;3;2019;1;1;2019-01-01
816;RP Metropolitana Barcelona;ABP Eixample;Robatori amb força;263;2019;1;1;2019-01-01
817;RP Metropolitana Barcelona;ABP Eixample;Robatori amb força interior vehicle;129;2019;1;1;2019-01-01
818;RP Metropolitana Barcelona;ABP Eixample;Robatori amb violència i/o intimidació;293;2019;1;1;2019-01-01
819;RP Metropolitana Barcelona;ABP Eixample;Robatori i furt d'us de vehicle;89;2019;1;1;2019-01-01
820;RP Metropolitana Barcelona;ABP Eixample;Defraudacions de fluid elèctric i anàlogues;1;2019;1;1;2019-01-01
821;RP Metropolitana Barcelona;ABP Eixample;Injúria;1;2019;1;1;2019-01-01
822;RP Metropolitana Barcelona;ABP Eixample;Contra exercici drets fonamentals i llibertats públiques;1;2019;1;1;2019-01-01
823;RP Metropolitana Barcelona;ABP Eixample;Descobriment i revelació de secrets;8;2019;1;1;2019-01-01
824;RP Metropolitana Barcelona;ABP Eixample;Entrada a domicili aliè;2;2019;1;1;2019-01-01
825;RP Metropolitana Barcelona;ABP Eixample;Amenaces;35;2019;1;1;2019-01-01
826;RP Metropolitana Barcelona;ABP Eixample;Coaccions;11;2019;1;1;2019-01-01
827;RP Metropolitana Barcelona;ABP Eixample;Abusos sexuals;5;2019;1;1;2019-01-01
828;RP Metropolitana Barcelona;ABP Eixample;Agressions sexuals;0;2019;1;1;2019-01-01
829;RP Metropolitana Barcelona;ABP Eixample;Relatius a la prostitució;1;2019;1;1;2019-01-01
830;RP Metropolitana Barcelona;ABP Eixample;Acusació, denúncia falsa i simulació de delictes;1;2019;1;1;2019-01-01
831;RP Metropolitana Barcelona;ABP Eixample;Trencament de condemna;6;2019;1;1;2019-01-01
832;RP Metropolitana Barcelona;ABP Eixample;Desordres públics;3;2019;1;1;2019-01-01
833;RP Metropolitana Barcelona;ABP Eixample;Altres delictes contra l'ordre públic;15;2019;1;1;2019-01-01
834;RP Metropolitana Barcelona;ABP Eixample;Contra la salut pública;3;2019;1;1;2019-01-01
835;RP Metropolitana Barcelona;ABP Gràcia;Falsedats documentals;2;2019;1;1;2019-01-01
836;RP Metropolitana Barcelona;ABP Gràcia;Falsificació de moneda i efectes timbrats;1;2019;1;1;2019-01-01
837;RP Metropolitana Barcelona;ABP Gràcia;Lesions;19;2019;1;1;2019-01-01
838;RP Metropolitana Barcelona;ABP Gràcia;Apropiació indeguda;7;2019;1;1;2019-01-01
839;RP Metropolitana Barcelona;ABP Gràcia;Danys;58;2019;1;1;2019-01-01
840;RP Metropolitana Barcelona;ABP Gràcia;Estafes;151;2019;1;1;2019-01-01
841;RP Metropolitana Barcelona;ABP Gràcia;Extorsió;1;2019;1;1;2019-01-01
842;RP Metropolitana Barcelona;ABP Gràcia;Furt;322;2019;1;1;2019-01-01
843;RP Metropolitana Barcelona;ABP Gràcia;Ocupació immobles;1;2019;1;1;2019-01-01
844;RP Metropolitana Barcelona;ABP Gràcia;Receptació i altres conductes afins;1;2019;1;1;2019-01-01
845;RP Metropolitana Barcelona;ABP Gràcia;Robatori amb força;73;2019;1;1;2019-01-01
846;RP Metropolitana Barcelona;ABP Gràcia;Robatori amb força interior vehicle;24;2019;1;1;2019-01-01
847;RP Metropolitana Barcelona;ABP Gràcia;Robatori amb violència i/o intimidació;38;2019;1;1;2019-01-01
848;RP Metropolitana Barcelona;ABP Gràcia;Robatori i furt d'us de vehicle;35;2019;1;1;2019-01-01
849;RP Metropolitana Barcelona;ABP Gràcia;Defraudacions de fluid elèctric i anàlogues;2;2019;1;1;2019-01-01
850;RP Metropolitana Barcelona;ABP Gràcia;Descobriment i revelació de secrets;4;2019;1;1;2019-01-01
851;RP Metropolitana Barcelona;ABP Gràcia;Amenaces;19;2019;1;1;2019-01-01
852;RP Metropolitana Barcelona;ABP Gràcia;Coaccions;9;2019;1;1;2019-01-01
853;RP Metropolitana Barcelona;ABP Gràcia;Abusos sexuals;1;2019;1;1;2019-01-01
854;RP Metropolitana Barcelona;ABP Gràcia;Agressions sexuals;1;2019;1;1;2019-01-01
855;RP Metropolitana Barcelona;ABP Gràcia;Realització arbitrària del propi dret;1;2019;1;1;2019-01-01
856;RP Metropolitana Barcelona;ABP Gràcia;Trencament de condemna;0;2019;1;1;2019-01-01
857;RP Metropolitana Barcelona;ABP Gràcia;Contra els drets i deures familiars;1;2019;1;1;2019-01-01
858;RP Metropolitana Barcelona;ABP Gràcia;Altres delictes contra l'ordre públic;1;2019;1;1;2019-01-01
859;RP Metropolitana Barcelona;ABP Gràcia;Protecció de la flora, fauna i animals domèstics;1;2019;1;1;2019-01-01
860;RP Metropolitana Barcelona;ABP Horta-Guinardó;Omissió del deure de socors;1;2019;1;1;2019-01-01
861;RP Metropolitana Barcelona;ABP Horta-Guinardó;De la usurpació de l'estat civil;3;2019;1;1;2019-01-01
862;RP Metropolitana Barcelona;ABP Horta-Guinardó;Falsedats documentals;3;2019;1;1;2019-01-01
863;RP Metropolitana Barcelona;ABP Horta-Guinardó;Lesions;24;2019;1;1;2019-01-01
864;RP Metropolitana Barcelona;ABP Horta-Guinardó;Apropiació indeguda;4;2019;1;1;2019-01-01
865;RP Metropolitana Barcelona;ABP Horta-Guinardó;Danys;91;2019;1;1;2019-01-01
866;RP Metropolitana Barcelona;ABP Horta-Guinardó;Estafes;136;2019;1;1;2019-01-01
867;RP Metropolitana Barcelona;ABP Horta-Guinardó;Extorsió;1;2019;1;1;2019-01-01
868;RP Metropolitana Barcelona;ABP Horta-Guinardó;Furt;207;2019;1;1;2019-01-01
869;RP Metropolitana Barcelona;ABP Horta-Guinardó;Ocupació immobles;14;2019;1;1;2019-01-01
870;RP Metropolitana Barcelona;ABP Horta-Guinardó;Receptació i altres conductes afins;3;2019;1;1;2019-01-01
871;RP Metropolitana Barcelona;ABP Horta-Guinardó;Robatori amb força;90;2019;1;1;2019-01-01
872;RP Metropolitana Barcelona;ABP Horta-Guinardó;Robatori amb força interior vehicle;78;2019;1;1;2019-01-01
873;RP Metropolitana Barcelona;ABP Horta-Guinardó;Robatori amb violència i/o intimidació;48;2019;1;1;2019-01-01
874;RP Metropolitana Barcelona;ABP Horta-Guinardó;Robatori i furt d'us de vehicle;34;2019;1;1;2019-01-01
875;RP Metropolitana Barcelona;ABP Horta-Guinardó;Descobriment i revelació de secrets;2;2019;1;1;2019-01-01
876;RP Metropolitana Barcelona;ABP Horta-Guinardó;Amenaces;16;2019;1;1;2019-01-01
877;RP Metropolitana Barcelona;ABP Horta-Guinardó;Coaccions;3;2019;1;1;2019-01-01
878;RP Metropolitana Barcelona;ABP Horta-Guinardó;Abusos sexuals;1;2019;1;1;2019-01-01
879;RP Metropolitana Barcelona;ABP Horta-Guinardó;Relatius a la prostitució;1;2019;1;1;2019-01-01
880;RP Metropolitana Barcelona;ABP Horta-Guinardó;Trencament de condemna;4;2019;1;1;2019-01-01
881;RP Metropolitana Barcelona;ABP Horta-Guinardó;Organitzacions i grups criminals;0;2019;1;1;2019-01-01
882;RP Metropolitana Barcelona;ABP Horta-Guinardó;Altres delictes contra l'ordre públic;1;2019;1;1;2019-01-01
883;RP Metropolitana Barcelona;ABP Horta-Guinardó;Contra la salut pública;3;2019;1;1;2019-01-01
884;RP Metropolitana Barcelona;ABP Horta-Guinardó;Protecció de la flora, fauna i animals domèstics;1;2019;1;1;2019-01-01
885;RP Metropolitana Barcelona;ABP Les Corts;Homicidi temptativa;1;2019;1;1;2019-01-01
886;RP Metropolitana Barcelona;ABP Les Corts;De la usurpació de l'estat civil;0;2019;1;1;2019-01-01
887;RP Metropolitana Barcelona;ABP Les Corts;Falsedats documentals;5;2019;1;1;2019-01-01
888;RP Metropolitana Barcelona;ABP Les Corts;Falsificació de moneda i efectes timbrats;1;2019;1;1;2019-01-01
889;RP Metropolitana Barcelona;ABP Les Corts;Lesions;13;2019;1;1;2019-01-01
890;RP Metropolitana Barcelona;ABP Les Corts;Apropiació indeguda;4;2019;1;1;2019-01-01
891;RP Metropolitana Barcelona;ABP Les Corts;Danys;55;2019;1;1;2019-01-01
892;RP Metropolitana Barcelona;ABP Les Corts;Estafes;90;2019;1;1;2019-01-01
893;RP Metropolitana Barcelona;ABP Les Corts;Furt;389;2019;1;1;2019-01-01
894;RP Metropolitana Barcelona;ABP Les Corts;Ocupació immobles;4;2019;1;1;2019-01-01
895;RP Metropolitana Barcelona;ABP Les Corts;Receptació i altres conductes afins;0;2019;1;1;2019-01-01
896;RP Metropolitana Barcelona;ABP Les Corts;Robatori amb força;39;2019;1;1;2019-01-01
897;RP Metropolitana Barcelona;ABP Les Corts;Robatori amb força interior vehicle;73;2019;1;1;2019-01-01
898;RP Metropolitana Barcelona;ABP Les Corts;Robatori amb violència i/o intimidació;41;2019;1;1;2019-01-01
899;RP Metropolitana Barcelona;ABP Les Corts;Robatori i furt d'us de vehicle;26;2019;1;1;2019-01-01
900;RP Metropolitana Barcelona;ABP Les Corts;Usurpació;0;2019;1;1;2019-01-01
901;RP Metropolitana Barcelona;ABP Les Corts;Descobriment i revelació de secrets;1;2019;1;1;2019-01-01
902;RP Metropolitana Barcelona;ABP Les Corts;Entrada a domicili aliè;1;2019;1;1;2019-01-01
903;RP Metropolitana Barcelona;ABP Les Corts;Amenaces;3;2019;1;1;2019-01-01
904;RP Metropolitana Barcelona;ABP Les Corts;Abusos sexuals;2;2019;1;1;2019-01-01
905;RP Metropolitana Barcelona;ABP Les Corts;Acusació, denúncia falsa i simulació de delictes;2;2019;1;1;2019-01-01
906;RP Metropolitana Barcelona;ABP Les Corts;Trencament de condemna;2;2019;1;1;2019-01-01
907;RP Metropolitana Barcelona;ABP Les Corts;Organitzacions i grups criminals;0;2019;1;1;2019-01-01
908;RP Metropolitana Barcelona;ABP Les Corts;Altres delictes contra l'ordre públic;1;2019;1;1;2019-01-01
909;RP Metropolitana Barcelona;ABP Les Corts;Contra la salut pública;1;2019;1;1;2019-01-01
910;RP Metropolitana Barcelona;ABP Nou Barris;De la usurpació de l'estat civil;1;2019;1;1;2019-01-01
911;RP Metropolitana Barcelona;ABP Nou Barris;Falsedats documentals;5;2019;1;1;2019-01-01
912;RP Metropolitana Barcelona;ABP Nou Barris;Lesions;50;2019;1;1;2019-01-01
913;RP Metropolitana Barcelona;ABP Nou Barris;Tracte degradant / vexatori;3;2019;1;1;2019-01-01
914;RP Metropolitana Barcelona;ABP Nou Barris;Tràfic d'éssers humans;0;2019;1;1;2019-01-01
915;RP Metropolitana Barcelona;ABP Nou Barris;Apropiació indeguda;9;2019;1;1;2019-01-01
916;RP Metropolitana Barcelona;ABP Nou Barris;Danys;68;2019;1;1;2019-01-01
917;RP Metropolitana Barcelona;ABP Nou Barris;Estafes;116;2019;1;1;2019-01-01
918;RP Metropolitana Barcelona;ABP Nou Barris;Furt;210;2019;1;1;2019-01-01
919;RP Metropolitana Barcelona;ABP Nou Barris;Ocupació immobles;27;2019;1;1;2019-01-01
920;RP Metropolitana Barcelona;ABP Nou Barris;Receptació i altres conductes afins;1;2019;1;1;2019-01-01
921;RP Metropolitana Barcelona;ABP Nou Barris;Robatori amb força;57;2019;1;1;2019-01-01
922;RP Metropolitana Barcelona;ABP Nou Barris;Robatori amb força interior vehicle;44;2019;1;1;2019-01-01
923;RP Metropolitana Barcelona;ABP Nou Barris;Robatori amb violència i/o intimidació;61;2019;1;1;2019-01-01
924;RP Metropolitana Barcelona;ABP Nou Barris;Robatori i furt d'us de vehicle;26;2019;1;1;2019-01-01
925;RP Metropolitana Barcelona;ABP Nou Barris;Usurpació;3;2019;1;1;2019-01-01
926;RP Metropolitana Barcelona;ABP Nou Barris;Descobriment i revelació de secrets;1;2019;1;1;2019-01-01
927;RP Metropolitana Barcelona;ABP Nou Barris;Entrada a domicili aliè;1;2019;1;1;2019-01-01
928;RP Metropolitana Barcelona;ABP Nou Barris;Amenaces;32;2019;1;1;2019-01-01
929;RP Metropolitana Barcelona;ABP Nou Barris;Coaccions;6;2019;1;1;2019-01-01
930;RP Metropolitana Barcelona;ABP Nou Barris;Abusos sexuals;4;2019;1;1;2019-01-01
931;RP Metropolitana Barcelona;ABP Nou Barris;Agressions sexuals;4;2019;1;1;2019-01-01
932;RP Metropolitana Barcelona;ABP Nou Barris;Relatius a la prostitució;0;2019;1;1;2019-01-01
933;RP Metropolitana Barcelona;ABP Nou Barris;Acusació, denúncia falsa i simulació de delictes;2;2019;1;1;2019-01-01
934;RP Metropolitana Barcelona;ABP Nou Barris;Trencament de condemna;9;2019;1;1;2019-01-01
935;RP Metropolitana Barcelona;ABP Nou Barris;Contra els drets i deures familiars;4;2019;1;1;2019-01-01
936;RP Metropolitana Barcelona;ABP Nou Barris;Desordres públics;1;2019;1;1;2019-01-01
937;RP Metropolitana Barcelona;ABP Nou Barris;Organitzacions i grups criminals;0;2019;1;1;2019-01-01
938;RP Metropolitana Barcelona;ABP Nou Barris;Altres delictes contra l'ordre públic;4;2019;1;1;2019-01-01
939;RP Metropolitana Barcelona;ABP Nou Barris;Contra la salut pública;6;2019;1;1;2019-01-01
940;RP Metropolitana Barcelona;ABP Sant Andreu;De la usurpació de l'estat civil;1;2019;1;1;2019-01-01
941;RP Metropolitana Barcelona;ABP Sant Andreu;Falsedats documentals;4;2019;1;1;2019-01-01
942;RP Metropolitana Barcelona;ABP Sant Andreu;Falsificació de moneda i efectes timbrats;2;2019;1;1;2019-01-01
943;RP Metropolitana Barcelona;ABP Sant Andreu;Lesions;36;2019;1;1;2019-01-01
944;RP Metropolitana Barcelona;ABP Sant Andreu;Tracte degradant / vexatori;1;2019;1;1;2019-01-01
945;RP Metropolitana Barcelona;ABP Sant Andreu;Apropiació indeguda;15;2019;1;1;2019-01-01
946;RP Metropolitana Barcelona;ABP Sant Andreu;Danys;96;2019;1;1;2019-01-01
947;RP Metropolitana Barcelona;ABP Sant Andreu;Estafes;132;2019;1;1;2019-01-01
948;RP Metropolitana Barcelona;ABP Sant Andreu;Furt;460;2019;1;1;2019-01-01
949;RP Metropolitana Barcelona;ABP Sant Andreu;Ocupació immobles;11;2019;1;1;2019-01-01
950;RP Metropolitana Barcelona;ABP Sant Andreu;Propietat industrial;1;2019;1;1;2019-01-01
951;RP Metropolitana Barcelona;ABP Sant Andreu;Receptació i altres conductes afins;0;2019;1;1;2019-01-01
952;RP Metropolitana Barcelona;ABP Sant Andreu;Robatori amb força;50;2019;1;1;2019-01-01
953;RP Metropolitana Barcelona;ABP Sant Andreu;Robatori amb força interior vehicle;103;2019;1;1;2019-01-01
954;RP Metropolitana Barcelona;ABP Sant Andreu;Robatori amb violència i/o intimidació;90;2019;1;1;2019-01-01
955;RP Metropolitana Barcelona;ABP Sant Andreu;Robatori i furt d'us de vehicle;32;2019;1;1;2019-01-01
956;RP Metropolitana Barcelona;ABP Sant Andreu;Defraudacions de fluid elèctric i anàlogues;1;2019;1;1;2019-01-01
957;RP Metropolitana Barcelona;ABP Sant Andreu;Descobriment i revelació de secrets;2;2019;1;1;2019-01-01
958;RP Metropolitana Barcelona;ABP Sant Andreu;Entrada a domicili aliè;1;2019;1;1;2019-01-01
959;RP Metropolitana Barcelona;ABP Sant Andreu;Amenaces;19;2019;1;1;2019-01-01
960;RP Metropolitana Barcelona;ABP Sant Andreu;Coaccions;3;2019;1;1;2019-01-01
961;RP Metropolitana Barcelona;ABP Sant Andreu;Assetjament sexual;1;2019;1;1;2019-01-01
962;RP Metropolitana Barcelona;ABP Sant Andreu;Exhibicionisme i provocació sexual;2;2019;1;1;2019-01-01
963;RP Metropolitana Barcelona;ABP Sant Andreu;Trencament de condemna;7;2019;1;1;2019-01-01
964;RP Metropolitana Barcelona;ABP Sant Andreu;Contra els drets i deures familiars;1;2019;1;1;2019-01-01
965;RP Metropolitana Barcelona;ABP Sant Andreu;Organitzacions i grups criminals;0;2019;1;1;2019-01-01
966;RP Metropolitana Barcelona;ABP Sant Andreu;Altres delictes contra l'ordre públic;4;2019;1;1;2019-01-01
967;RP Metropolitana Barcelona;ABP Sant Andreu;Contra la salut pública;3;2019;1;1;2019-01-01
968;RP Metropolitana Barcelona;ABP Sant Martí;Homicidi temptativa;0;2019;1;1;2019-01-01
969;RP Metropolitana Barcelona;ABP Sant Martí;De la usurpació de l'estat civil;4;2019;1;1;2019-01-01
970;RP Metropolitana Barcelona;ABP Sant Martí;Falsedats documentals;3;2019;1;1;2019-01-01
971;RP Metropolitana Barcelona;ABP Sant Martí;Falsificació de moneda i efectes timbrats;1;2019;1;1;2019-01-01
972;RP Metropolitana Barcelona;ABP Sant Martí;Lesions;57;2019;1;1;2019-01-01
973;RP Metropolitana Barcelona;ABP Sant Martí;Tràfic d'éssers humans;0;2019;1;1;2019-01-01
974;RP Metropolitana Barcelona;ABP Sant Martí;Apropiació indeguda;24;2019;1;1;2019-01-01
975;RP Metropolitana Barcelona;ABP Sant Martí;Danys;229;2019;1;1;2019-01-01
976;RP Metropolitana Barcelona;ABP Sant Martí;Estafes;203;2019;1;1;2019-01-01
977;RP Metropolitana Barcelona;ABP Sant Martí;Furt;984;2019;1;1;2019-01-01
978;RP Metropolitana Barcelona;ABP Sant Martí;Ocupació immobles;13;2019;1;1;2019-01-01
979;RP Metropolitana Barcelona;ABP Sant Martí;Receptació i altres conductes afins;9;2019;1;1;2019-01-01
980;RP Metropolitana Barcelona;ABP Sant Martí;Robatori amb força;135;2019;1;1;2019-01-01
981;RP Metropolitana Barcelona;ABP Sant Martí;Robatori amb força interior vehicle;205;2019;1;1;2019-01-01
982;RP Metropolitana Barcelona;ABP Sant Martí;Robatori amb violència i/o intimidació;247;2019;1;1;2019-01-01
983;RP Metropolitana Barcelona;ABP Sant Martí;Robatori i furt d'us de vehicle;64;2019;1;1;2019-01-01
984;RP Metropolitana Barcelona;ABP Sant Martí;Usurpació;1;2019;1;1;2019-01-01
985;RP Metropolitana Barcelona;ABP Sant Martí;Contra exercici drets fonamentals i llibertats públiques;1;2019;1;1;2019-01-01
986;RP Metropolitana Barcelona;ABP Sant Martí;Descobriment i revelació de secrets;3;2019;1;1;2019-01-01
987;RP Metropolitana Barcelona;ABP Sant Martí;Entrada a domicili aliè;1;2019;1;1;2019-01-01
988;RP Metropolitana Barcelona;ABP Sant Martí;Amenaces;26;2019;1;1;2019-01-01
989;RP Metropolitana Barcelona;ABP Sant Martí;Coaccions;7;2019;1;1;2019-01-01
990;RP Metropolitana Barcelona;ABP Sant Martí;Abusos sexuals;4;2019;1;1;2019-01-01
991;RP Metropolitana Barcelona;ABP Sant Martí;Agressions sexuals;1;2019;1;1;2019-01-01
992;RP Metropolitana Barcelona;ABP Sant Martí;Assetjament sexual;1;2019;1;1;2019-01-01
993;RP Metropolitana Barcelona;ABP Sant Martí;Exhibicionisme i provocació sexual;1;2019;1;1;2019-01-01
994;RP Metropolitana Barcelona;ABP Sant Martí;Relatius a la prostitució;0;2019;1;1;2019-01-01
995;RP Metropolitana Barcelona;ABP Sant Martí;Trencament de condemna;5;2019;1;1;2019-01-01
996;RP Metropolitana Barcelona;ABP Sant Martí;Desordres públics;1;2019;1;1;2019-01-01
997;RP Metropolitana Barcelona;ABP Sant Martí;Altres delictes contra l'ordre públic;3;2019;1;1;2019-01-01
998;RP Metropolitana Barcelona;ABP Sant Martí;Contra la salut pública;8;2019;1;1;2019-01-01
999;RP Metropolitana Barcelona;ABP Sant Martí;Protecció de la flora, fauna i animals domèstics;0;2019;1;1;2019-01-01
1000;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Homicidi temptativa;1;2019;1;1;2019-01-01
1001;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Falsedats documentals;4;2019;1;1;2019-01-01
1002;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Falsificació de moneda i efectes timbrats;1;2019;1;1;2019-01-01
1003;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Usurpació de funcions públiques i intrusisme;1;2019;1;1;2019-01-01
1004;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Lesions;68;2019;1;1;2019-01-01
1005;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Tracte degradant / vexatori;2;2019;1;1;2019-01-01
1006;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Apropiació indeguda;26;2019;1;1;2019-01-01
1007;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Danys;114;2019;1;1;2019-01-01
1008;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Estafes;206;2019;1;1;2019-01-01
1009;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Furt;1092;2019;1;1;2019-01-01
1010;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Ocupació immobles;16;2019;1;1;2019-01-01
1011;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Receptació i altres conductes afins;2;2019;1;1;2019-01-01
1012;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Robatori amb força;109;2019;1;1;2019-01-01
1013;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Robatori amb força interior vehicle;116;2019;1;1;2019-01-01
1014;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Robatori amb violència i/o intimidació;112;2019;1;1;2019-01-01
1015;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Robatori i furt d'us de vehicle;56;2019;1;1;2019-01-01
1016;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Defraudacions de fluid elèctric i anàlogues;1;2019;1;1;2019-01-01
1017;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Calúmnia;1;2019;1;1;2019-01-01
1018;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Descobriment i revelació de secrets;2;2019;1;1;2019-01-01
1019;RP Metropolitana Barcelona;ABP Sants-Montjuïc;Entrada a domicili aliè;5;2019;1;1;2019-01-01
